,product,brand,price ($),life_stage,special_diet,review_num,review_star,ingredients,protein,fat,fiber,moisture,
1,Meow Mix Original Choice Dry Cat Food,Meow Mix,15.98,Adult,normal,960,4.7,"Ground Yellow Corn, Corn Gluten Meal, Chicken By-Product Meal, Soybean Meal, Beef Tallow (Preserved with Mixed Tocopherols), Animal Digest, Calcium Carbonate, Turkey By-Product Meal, Salmon Meal, Ocean Fish Meal, Phosphoric Acid, Choline Chloride, Salt, Potassium Chloride, Titanium Dioxide (Color), Vitamins [Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, D-Calcium Pantothenate, Thiamine Mononitrate (Source of Vitamin B1), Riboflavin Supplement (Source of Vitamin B2), Pyridoxine Hydrochloride (Source of Vitamin B6), Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Vitamin D3 Supplement, Folic Acid, Biotin, Vitamin B12 Supplement], Minerals [Ferrous Sulfate (Source of Iron), Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite], Taurine, Yellow 6, Yellow 5, Red 40, Blue 2, Rosemary Extract.",31.00%,11.00%,4.00%,12.00%,
2,Cat Chow Indoor Dry Cat Food,Cat Chow,13.98,Adult,"Indoor, Pea-Free",1000,4.7,"Chicken By-Product Meal, Whole Grain Corn, Soy Flour, Whole Grain Wheat, Corn Gluten Meal, Rice, Beef Fat Naturally Preserved With Mixed-Tocopherols, Liver Flavor, Chicken, Powdered Cellulose, Soybean Hulls, Calcium Carbonate, Phosphoric Acid, Salt, Natural Flavor, Potassium Chloride, Choline Chloride, Parsley Flakes, Taurine, Vitamin E Supplement, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], L-Ascorbyl-2-Polyphosphate (Vitamin C), Red 40, Blue 2, Yellow 5. M450018.",30.00%,9.50%,5.50%,12.00%,
3,Cat Chow Complete Dry Cat Food,Cat Chow,13.98,Adult,normal,846,4.8,"Chicken By-Product Meal, Ground Yellow Corn, Corn Gluten Meal, Whole Grain Wheat, Rice, Soy Flour, Beef Fat Preserved With Mixed-Tocopherols, Chicken, Fish Meal, Liver Flavor, Phosphoric Acid, Calcium Carbonate, Salt, Potassium Chloride, Choline Chloride, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Taurine, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Dl-Methionine, Red 40, Yellow 5, Blue 2. N450118.",32.00%,12.00%,3.00%,12.00%,
4,Kit & Kaboodle Dry Cat Food,Kit & Kaboodle,9.98,Adult,normal,669,4.6,"Ground Yellow Corn, Corn Gluten Meal, Soybean Meal, Meat And Bone Meal, Animal Fat Preserved With Mixed-Tocopherols, Chicken By-Product Meal, Animal Liver Flavor, Phosphoric Acid, Salt, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Choline Chloride, Turkey By-Product Meal, Fish Meal, Taurine, Calcium Carbonate, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Vitamin B-12 Supplement, Riboflavin Supplement (Vitamin B-2), Pyridoxine Hydrochloride (Vitamin B-6), Vitamin D-3 Supplement, Folic Acid (Vitamin B-9), Menadione Sodium Bisulfite Complex (Vitamin K), Biotin (Vitamin B-7)], Dl-Methionine, Red 40, Yellow 5, Blue 2. I451318",28.00%,10.00%,3.00%,12.00%,  
5,Royal Canin Veterinary Diet Urinary SO Dry Cat Food,Royal Canin Veterinary Diet,77.99,Adult,"Pea-Free, Veterinary Diet",1864,4.7,"Chicken By-Product Meal, Brewers Rice, Corn, Corn Gluten Meal, Chicken Fat, Wheat Gluten, Natural Flavors, Wheat, Salt, Powdered Cellulose, Fish Oil, Potassium Chloride, Sodium Bisulfate, Calcium Sulfate, Sodium Pyrophosphate, Vegetable Oil, Fructooligosaccharides, Choline Chloride, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, Biotin, Riboflavin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride (Vitamin B6), Vitamin A Acetate, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], Dl-Methionine, Taurine, Monocalcium Phosphate, Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Marigold Extract (Tagetes Erecta L.), Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid.",32.50%,13.00%,4.00%,8.00%,
6,Kitten Chow Nurture Dry Cat Food,Kitten Chow,13.98,Kitten,"High-Protein, Pea-Free",741,4.8,"Chicken By-product Meal, Corn Gluten Meal, Rice, Soy Flour, Beef Fat Preserved With Mixed-tocopherols, Ground Whole Wheat, Chicken, Fish Meal, Liver Flavor, Dried Yeast, Calcium Carbonate, Phosphoric Acid, Salt, Choline Chloride, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Taurine, Potassium Chloride. J453018.",40.00%,12.50%,2.50%,12.00%,
7,Cat Chow Naturals Original Dry Cat Food,Cat Chow,14.24,Adult,"High-Protein, Pea-Free, Indoor",828,4.7,"Chicken, Corn Gluten Meal, Chicken By-Product Meal, Rice, Soybean Meal, Ground Yellow Corn, Ground Whole Wheat, Beef Tallow Naturally Preserved With Mixed-Tocopherols, Natural Liver Flavor, Salmon, Phosphoric Acid, Calcium Carbonate, Natural Flavor, Salt, Choline Chloride, Dried Spinach, Taurine, Potassium Chloride, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite]. G452118.",34.00%,13.00%,3.00%,12.00%,
8,American Journey Turkey & Chicken Recipe Grain-Free Dry Cat Food,American Journey,28.66,Adult,"Grain-Free, No Corn No Wheat No Soy",1465,4.6,"Deboned Turkey, Turkey Meal, Chicken Meal, Tapioca Starch, Dried Egg Product, Pea Protein, Peas, Deboned Chicken, Natural Flavor, Menhaden Fish Meal, Chicken Fat (Preserved with Mixed Tocopherols), Flaxseed, Pea Fiber, Choline Chloride, Potassium Chloride, Inulin, DL-Methionine, Taurine, Salt, Spinach, Apples, Blueberries, Carrots, Cranberries, Pumpkin, Mixed Tocopherols (Preservative), Ferrous Sulfate, Zinc Proteinate, Zinc Sulfate, Vitamin E Supplement, Iron Proteinate, Niacin Supplement, Copper Sulfate, Sodium Selenite, Copper Proteinate, Vitamin A Supplement, Thiamine Mononitrate, L-Carnitine, Manganese Sulfate, Manganese Proteinate, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Folic Acid, Calcium Iodate, Vitamin D3 Supplement, Rosemary Extract, Yeast Culture, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Acidophilus Fermentation Product, Dried Aspergillus Niger Fermentation Extract, Dried Trichoderma Longibrachiatum Fermentation Extract, Dried Bacillus Subtilis Fermentation Extract.",40.00%,15.00%,4.00%,10.00%,
9,"9 Lives Daily Essentials with Chicken, Beef & Salmon Flavor Dry Cat Food",9 Lives,12.98,Adult,normal,558,4.6,"Whole Ground Corn, Chicken By-Product Meal, Corn Gluten Meal, Soybean Meal, Whole Wheat, Beef Fat (Preserved with Mixed Tocopherols), Meat and Bone Meal, Animal Digest, Salmon Meal, Salt, Phosphoric Acid, Choline Chloride, Titanium Dioxide (Color), Vitamins (Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, D-Calcium Pantothenate, Thiamine Mononitrate, Riboflavin Supplement, Pyridoxine Hydrochloride, Menadione Sodium Bisulfite Complex, Vitamin D3 Supplement, Folic Acid, Biotin, Vitamin B12 Supplement), Potassium Chloride, Taurine, Minerals (Ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Red 40, Yellow 5, Yellow 6, BHA (Used As A Preservative), Blue 1, Blue 2, Rosemary Extract.",30.00%,9.00%,3.00%,12.00%,
10,Iams ProActive Health Indoor Weight & Hairball Care Dry Cat Food,Iams,23.84,Adult,"Indoor, Weight Control",1099,4.7,"Chicken, Chicken By-Product Meal, Corn Grits, Corn Gluten Meal, Ground Whole Grain Corn, Ground Whole Grain Sorghum, Dried Plain Beet Pulp, Turkey, Powdered Cellulose, Natural Flavor, Brewers Dried Yeast, Dried Egg Product, Caramel Color, Potassium Chloride, Sodium Bisulfate, Choline Chloride, Fish Oil (Preserved with Mixed  Tocopherols), Calcium Carbonate, Fructooligosaccharides, Vitamins [Vitamin E Supplement, Niacin, Ascorbic Acid, Vitamin A Acetate, Calcium Pantothenate, Biotin, Thiamine Mononitrate (Source  of Vitamin B1), Pyridoxine Hydrochloride (Source  of Vitamin B6), Vitamin B12 Supplement, Riboflavin Supplement (Source  of Vitamin B2), Vitamin D3 Supplement, Folic Acid], Taurine, Minerals [Zinc Oxide, Manganese Sulfate, Copper Sulfate, Potassium Iodide], Mixed Tocopherols and Citric Acid (Preservatives ), L-Carnitine, Rosemary Extract.",30.00%,11.00%,8.30%,10.00%,
